M,C,N,bar_alpha,F,delta_global,delta_cell,eps_M,L_alpha,U_2,U_F,m_L,issued,eta_star,method,R_cert,mL_le_0,UF_eq_quarter,R_cert_eq_1,R_cert_lt_07,R_cert_lt_03
100,4,64,0.75,0.01,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7317980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,64,0.75,0.03,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7517980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,64,0.75,0.05,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7717980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,64,0.75,0.1,0.1,0.025,0.15929805107461023,0.5907019489253897,0.8217980510746102,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,64,0.8,0.0,0.1,0.025,0.15929805107461023,0.6407019489253898,0.7992980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,64,0.8,0.01,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8092980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,64,0.8,0.03,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8292980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,64,0.8,0.05,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8492980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,64,0.8,0.1,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8992980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,6,8,0.55,0.0,0.1,0.016666666666666666,0.16553910298388702,0.384460897016113,0.46803910298388707,0.25,-0.11553910298388698,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.55,0.01,0.1,0.016666666666666666,0.16553910298388702,0.384460897016113,0.4780391029838871,0.25,-0.11553910298388698,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.55,0.03,0.1,0.016666666666666666,0.16553910298388702,0.384460897016113,0.49803910298388704,0.25,-0.11553910298388698,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.55,0.05,0.1,0.016666666666666666,0.16553910298388702,0.384460897016113,0.5180391029838871,0.25,-0.11553910298388698,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.55,0.1,0.1,0.016666666666666666,0.16553910298388702,0.384460897016113,0.5680391029838872,0.25,-0.11553910298388698,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.6,0.0,0.1,0.016666666666666666,0.16553910298388702,0.43446089701611296,0.525539102983887,0.25,-0.06553910298388704,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.6,0.01,0.1,0.016666666666666666,0.16553910298388702,0.43446089701611296,0.535539102983887,0.25,-0.06553910298388704,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.6,0.03,0.1,0.016666666666666666,0.16553910298388702,0.43446089701611296,0.555539102983887,0.25,-0.06553910298388704,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.6,0.05,0.1,0.016666666666666666,0.16553910298388702,0.43446089701611296,0.575539102983887,0.25,-0.06553910298388704,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.6,0.1,0.1,0.016666666666666666,0.16553910298388702,0.43446089701611296,0.625539102983887,0.25,-0.06553910298388704,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.65,0.0,0.1,0.016666666666666666,0.16553910298388702,0.484460897016113,0.5880391029838871,0.25,-0.015539102983886999,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.65,0.01,0.1,0.016666666666666666,0.16553910298388702,0.484460897016113,0.5980391029838871,0.25,-0.015539102983886999,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.65,0.03,0.1,0.016666666666666666,0.16553910298388702,0.484460897016113,0.618039102983887,0.25,-0.015539102983886999,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.65,0.05,0.1,0.016666666666666666,0.16553910298388702,0.484460897016113,0.638039102983887,0.25,-0.015539102983886999,False,,no-margin,1.0,1,1,1,0,0
100,6,8,0.65,0.1,0.1,0.016666666666666666,0.16553910298388702,0.484460897016113,0.688039102983887,0.25,-0.015539102983886999,False,,no-margin,1.0,1,1,1,0,0
